input_size,weight_size,output_size,macro_size,count_inch,count_outch,remain,Latency_for_Weight,Latency_for_MAC,Latency_Total,weight_sparsity,input_toggle_rate,MAC_Power_avg,MAC_Power_max,MAC_Power_min,MAC_TOPS_avg,MAC_TOPS_max,MAC_TOPS_min,TOPS_W_avg,TOPS_W_max,TOPS_W_min,Energy_for_Weight,Energy_for_MAC,Energy_Total
"torch.Size([1, 3, 224, 224])","torch.Size([64, 3, 7, 7])","torch.Size([1, 64, 112, 112])","(1, 1)",1,1,0,2.352e-05,0.0001569001,0.0001804201,0.7238617,0.47989702,0.039192643,0.039192643,0.039192643,1.8816,1.8816,1.8816,48.00901,48.00901,48.00901,2.35200004681246e-5*x,2458.1626,2.35200004681246e-5*x + 2458.16259765625
"torch.Size([1, 64, 56, 56])","torch.Size([64, 64, 1, 1])","torch.Size([1, 64, 56, 56])","(1, 1)",1,1,0,1.024e-05,3.91941e-05,4.94341e-05,0.98243713,0.035440248,0.009543967,0.009543967,0.009543967,0.8192,0.8192,0.8192,85.83432,85.83432,85.83432,1.02399999377667e-5*x,149.64941,1.02399999377667e-5*x + 149.6494140625
"torch.Size([1, 64, 56, 56])","torch.Size([64, 64, 3, 3])","torch.Size([1, 64, 56, 56])","(1, 1)",3,1,0,9.216e-05,0.0001175823,0.0002097423,0.62979126,0.04671224,0.017782925,0.021528482,0.010291806,2.4575999,3.2768,0.8192,128.0042,152.20766,79.5973,9.2160000349395e-5*x,836.5088,9.2160000349395e-5*x + 836.5087890625
"torch.Size([1, 64, 56, 56])","torch.Size([256, 64, 1, 1])","torch.Size([1, 256, 56, 56])","(1, 1)",1,4,0,4.096e-05,0.0001567764,0.0001977364,0.8713379,0.0895311,0.012360209,0.012360209,0.012360209,0.8192,0.8192,0.8192,66.2772,66.2772,66.2772,4.09599997510668e-5*x,775.2323,4.09599997510668e-5*x + 775.232299804688
"torch.Size([1, 64, 56, 56])","torch.Size([256, 64, 1, 1])","torch.Size([1, 256, 56, 56])","(1, 1)",1,4,0,4.096e-05,0.0001567764,0.0001977364,0.9883232,0.035440248,0.009543967,0.009543967,0.009543967,0.8192,0.8192,0.8192,85.83432,85.83432,85.83432,4.09599997510668e-5*x,598.59766,4.09599997510668e-5*x + 598.59765625
"torch.Size([1, 256, 56, 56])","torch.Size([64, 256, 1, 1])","torch.Size([1, 64, 56, 56])","(1, 1)",1,1,0,4.096e-05,3.91941e-05,8.01541e-05,0.9430542,0.018647486,0.014121375,0.014121375,0.014121375,3.2768,3.2768,3.2768,232.04538,232.04538,232.04538,4.09599997510668e-5*x,221.42314,4.09599997510668e-5*x + 221.423141479492
"torch.Size([1, 64, 56, 56])","torch.Size([64, 64, 3, 3])","torch.Size([1, 64, 56, 56])","(1, 1)",3,1,0,9.216e-05,0.0001175823,0.0002097423,0.61886597,0.0097158,0.009519611,0.010832497,0.0068938374,2.4575999,3.2768,0.8192,241.27504,302.4972,118.830765,9.2160000349395e-5*x,447.8025,9.2160000349395e-5*x + 447.802490234375
"torch.Size([1, 64, 56, 56])","torch.Size([256, 64, 1, 1])","torch.Size([1, 256, 56, 56])","(1, 1)",1,4,0,4.096e-05,0.0001567764,0.0001977364,0.9753723,0.22702336,0.016386397,0.016386397,0.016386397,0.8192,0.8192,0.8192,49.992683,49.992683,49.992683,4.09599997510668e-5*x,1027.7548,4.09599997510668e-5*x + 1027.75476074219
"torch.Size([1, 256, 56, 56])","torch.Size([64, 256, 1, 1])","torch.Size([1, 64, 56, 56])","(1, 1)",1,1,0,4.096e-05,3.91941e-05,8.01541e-05,0.8210449,0.019306418,0.014335002,0.014335002,0.014335002,3.2768,3.2768,3.2768,228.58734,228.58734,228.58734,4.09599997510668e-5*x,224.77283,4.09599997510668e-5*x + 224.772827148438
"torch.Size([1, 64, 56, 56])","torch.Size([64, 64, 3, 3])","torch.Size([1, 64, 56, 56])","(1, 1)",3,1,0,9.216e-05,0.0001175823,0.0002097423,0.6277771,0.079120524,0.022503236,0.02779173,0.0119262505,2.4575999,3.2768,0.8192,101.49999,117.90558,68.68881,9.2160000349395e-5*x,1058.5522,9.2160000349395e-5*x + 1058.55224609375
"torch.Size([1, 64, 56, 56])","torch.Size([256, 64, 1, 1])","torch.Size([1, 256, 56, 56])","(1, 1)",1,4,0,4.096e-05,0.0001567764,0.0001977364,0.97875595,0.15561847,0.014590329,0.014590329,0.014590329,0.8192,0.8192,0.8192,56.146782,56.146782,56.146782,4.09599997510668e-5*x,915.10535,4.09599997510668e-5*x + 915.105346679688
